17,2,29,29,5,6,7,7,-1,-1,-1,-1,0,9,2,11,12,5,0,8,8,0,1,2,3,12,9,14,11,12,13,14
1,1,2,4,5,6,7,15,15,-1,-1,-1,16,1,18,3,4,5,8,16,16,0,1,2,7,16,21,22,19,20,21,22
27,27,27,12,27,6,7,23,29,-1,-1,-1,0,21,22,27,4,5,28,24,0,12,2,14,4,9,29,17,18,28,17,18
40,56,59,40,52,10,15,31,39,-1,-1,-1,8,29,10,31,12,0,28,28,0,7,21,22,16,24,18,25,26,28,25,26
27,1,2,1,29,7,23,19,14,-1,-1,-1,16,17,18,19,20,8,12,28,28,1,29,3,31,12,25,27,7,28,29,30
4,5,6,7,7,15,31,15,-1,-1,-1,-1,24,25,26,27,28,16,24,18,9,28,11,12,8,12,21,22,27,17,18,30
4,5,1,7,15,23,-1,-1,-1,-1,-1,-1,0,18,1,2,7,24,25,16,1,18,3,12,16,14,29,22,31,25,26,30
2,3,4,5,6,7,-1,-1,-1,-1,-1,-1,8,12,0,14,2,3,4,5,6,7,27,7,21,22,17,18,31,29,30,18
29,2,3,4,5,6,7,-1,-1,-1,-1,-1,16,8,21,22,0,1,2,3,4,5,17,18,29,18,25,26,17,18,18,31
29,2,17,4,5,6,-1,-1,-1,-1,-1,-1,24,16,9,8,11,12,1,2,3,4,25,26,24,25,26,27,17,18,26,31
29,29,3,4,5,1,-1,-1,-1,-1,-1,-1,0,16,24,18,7,0,0,28,2,3,4,5,24,25,18,28,17,17,18,31
20,17,20,29,4,5,6,7,-1,-1,-1,-1,8,12,16,14,27,8,0,1,18,3,4,5,24,25,26,27,25,25,26,31
1,29,1,4,29,6,7,7,-1,-1,-1,-1,16,24,21,22,24,12,0,14,0,0,0,0,24,25,26,12,29,9,31,11
2,1,29,5,6,17,7,15,-1,-1,-1,-1,24,24,29,26,31,24,21,22,8,8,8,8,24,7,26,12,16,14,18,7
20,17,20,17,7,10,15,23,-1,-1,-1,-1,24,25,26,27,28,17,18,16,18,16,12,16,14,24,25,26,17,18,14,27
3,20,20,17,7,10,23,31,-1,-1,-1,-1,24,18,18,27,28,25,26,24,24,24,24,21,22,24,25,26,25,26,22,30
